image_id,filename,prediction,confidence,infection_percentage,severity_score,severity_label
img_d8b1f28a0c,Healthy(1).jpg,Diseased,0.76,39.9363,39.9363,Moderate
img_64b02681df,Healthy(10).jpg,Diseased,0.7584,39.925,39.925,Moderate
img_90f9f7142b,Healthy(100).jpg,Diseased,0.761,41.3653,41.3653,Moderate
img_ed8c99aa82,Healthy(101).jpg,Diseased,0.7629,42.4365,42.4365,Moderate
img_7b784ed3b7,Healthy(102).jpg,Diseased,0.7448,38.945,38.945,Moderate
img_301eb0fd2c,Healthy(103).jpg,Diseased,0.7673,43.776,43.776,Moderate
img_42daf4666d,Healthy(104).jpg,Diseased,0.7672,41.2561,41.2561,Moderate
img_768a033e38,Healthy(105).jpg,Diseased,0.7669,41.6757,41.6757,Moderate
img_a8176b4d37,Healthy(106).jpg,Diseased,0.7573,43.2494,43.2494,Moderate
img_24fc5d9de6,Healthy(107).jpg,Diseased,0.7453,37.4008,37.4008,Moderate
