image_id,filename,prediction,confidence,infection_percentage,severity_score,severity_label
img_ba45065d52,Healthy(1).jpg,Diseased,0.76,39.9363,39.9363,Moderate
img_8fe11b50ab,Healthy(10).jpg,Diseased,0.7584,39.925,39.925,Moderate
img_b9c79ce9e7,Healthy(100).jpg,Diseased,0.761,41.3653,41.3653,Moderate
img_c2c6e3c2f8,Healthy(101).jpg,Diseased,0.7629,42.4365,42.4365,Moderate
img_9f64ba5837,Healthy(102).jpg,Diseased,0.7448,38.945,38.945,Moderate
img_7755120a95,Healthy(103).jpg,Diseased,0.7673,43.776,43.776,Moderate
img_94e6296bfc,Healthy(104).jpg,Diseased,0.7672,41.2561,41.2561,Moderate
img_a2ccd18365,Healthy(105).jpg,Diseased,0.7669,41.6757,41.6757,Moderate
img_c53f56dc82,Healthy(106).jpg,Diseased,0.7573,43.2494,43.2494,Moderate
img_41e1b41898,Healthy(107).jpg,Diseased,0.7453,37.4008,37.4008,Moderate
