image_id,filename,prediction,confidence,infection_percentage,severity_score,severity_label
img_38b3c17d0c,Healthy(1).jpg,Diseased,0.76,39.9363,39.9363,Moderate
img_45dfbb32b1,Healthy(10).jpg,Diseased,0.7584,39.925,39.925,Moderate
img_31d934b216,Healthy(100).jpg,Diseased,0.761,41.3653,41.3653,Moderate
img_e8a32a470c,Healthy(101).jpg,Diseased,0.7629,42.4365,42.4365,Moderate
img_68f71174f2,Healthy(102).jpg,Diseased,0.7448,38.945,38.945,Moderate
img_23b306a8c4,Healthy(103).jpg,Diseased,0.7673,43.776,43.776,Moderate
img_32a65d58da,Healthy(104).jpg,Diseased,0.7672,41.2561,41.2561,Moderate
img_38f541ff39,Healthy(105).jpg,Diseased,0.7669,41.6757,41.6757,Moderate
img_c7b2234c3d,Healthy(106).jpg,Diseased,0.7573,43.2494,43.2494,Moderate
img_11f7945ec9,Healthy(107).jpg,Diseased,0.7453,37.4008,37.4008,Moderate
