image_id,filename,prediction,confidence,infection_percentage,severity_score,severity_label
img_8bb8b5bb0d,Healthy(1).jpg,Diseased,0.76,39.9363,39.9363,Moderate
img_3c5e321159,Healthy(10).jpg,Diseased,0.7584,39.925,39.925,Moderate
img_0ae4778a11,Healthy(100).jpg,Diseased,0.761,41.3653,41.3653,Moderate
img_a7491e7240,Healthy(101).jpg,Diseased,0.7629,42.4365,42.4365,Moderate
img_ab58dc8213,Healthy(102).jpg,Diseased,0.7448,38.945,38.945,Moderate
img_cbb6fab37e,Healthy(103).jpg,Diseased,0.7673,43.776,43.776,Moderate
img_88282f5b16,Healthy(104).jpg,Diseased,0.7672,41.2561,41.2561,Moderate
img_e3744d5e9c,Healthy(105).jpg,Diseased,0.7669,41.6757,41.6757,Moderate
img_cff9853f4e,Healthy(106).jpg,Diseased,0.7573,43.2494,43.2494,Moderate
img_ab65f7e8a4,Healthy(107).jpg,Diseased,0.7453,37.4008,37.4008,Moderate
img_b2b4bd3e35,Healthy(108).jpg,Diseased,0.7473,38.4723,38.4723,Moderate
img_dea930c35e,Healthy(109).jpg,Diseased,0.7525,37.7095,37.7095,Moderate
img_04359ee3f5,Healthy(11).jpg,Diseased,0.756,38.5179,38.5179,Moderate
img_5335dea4a3,Healthy(110).jpg,Diseased,0.7507,38.2026,38.2026,Moderate
img_484004c32e,Healthy(111).jpg,Diseased,0.7581,39.8459,39.8459,Moderate
