image_id,filename,prediction,confidence,infection_percentage,severity_score,severity_label
img_09d2738d81,Healthy(1).jpg,Diseased,0.76,39.9363,39.9363,Moderate
img_41aa48a3ee,Healthy(10).jpg,Diseased,0.7584,39.925,39.925,Moderate
img_9bb30f7c3b,Healthy(100).jpg,Diseased,0.761,41.3653,41.3653,Moderate
img_2198c37c97,Healthy(101).jpg,Diseased,0.7629,42.4365,42.4365,Moderate
img_e7b314662a,Healthy(102).jpg,Diseased,0.7448,38.945,38.945,Moderate
img_2e71362cd1,Healthy(103).jpg,Diseased,0.7673,43.776,43.776,Moderate
img_041bd06082,Healthy(104).jpg,Diseased,0.7672,41.2561,41.2561,Moderate
img_5486b99db5,Healthy(105).jpg,Diseased,0.7669,41.6757,41.6757,Moderate
img_c67d04d0d7,Healthy(106).jpg,Diseased,0.7573,43.2494,43.2494,Moderate
img_02bf6269a2,Healthy(107).jpg,Diseased,0.7453,37.4008,37.4008,Moderate
