image_id,filename,prediction,confidence,infection_percentage,severity_score,severity_label
img_98cc6d8134,Healthy(1).jpg,Diseased,0.76,39.9363,39.9363,Moderate
img_7b6eb33a4b,Healthy(10).jpg,Diseased,0.7584,39.925,39.925,Moderate
img_25647475f7,Healthy(100).jpg,Diseased,0.761,41.3653,41.3653,Moderate
img_ac2e06d861,Healthy(101).jpg,Diseased,0.7629,42.4365,42.4365,Moderate
img_4d0d850fca,Healthy(102).jpg,Diseased,0.7448,38.945,38.945,Moderate
img_267170f768,Healthy(103).jpg,Diseased,0.7673,43.776,43.776,Moderate
img_3223ed4846,Healthy(104).jpg,Diseased,0.7672,41.2561,41.2561,Moderate
img_49d15ac42e,Healthy(105).jpg,Diseased,0.7669,41.6757,41.6757,Moderate
img_b526ee13e3,Healthy(106).jpg,Diseased,0.7573,43.2494,43.2494,Moderate
img_a2db8c6526,Healthy(107).jpg,Diseased,0.7453,37.4008,37.4008,Moderate
img_c0df9ba51c,Healthy(108).jpg,Diseased,0.7473,38.4723,38.4723,Moderate
img_7481c42dc7,Healthy(109).jpg,Diseased,0.7525,37.7095,37.7095,Moderate
img_9e6c90c67b,Healthy(11).jpg,Diseased,0.756,38.5179,38.5179,Moderate
img_56e8659714,Healthy(110).jpg,Diseased,0.7507,38.2026,38.2026,Moderate
img_e26e5b5f4a,Healthy(111).jpg,Diseased,0.7581,39.8459,39.8459,Moderate
img_bea8414268,Healthy(112).jpg,Diseased,0.762,39.11,39.11,Moderate
img_78ae146228,Healthy(113).jpg,Diseased,0.76,40.4295,40.4295,Moderate
img_d836fa08d2,Healthy(114).jpg,Diseased,0.7512,39.5079,39.5079,Moderate
img_ea5c52cd3a,Healthy(115).jpg,Diseased,0.7553,39.241,39.241,Moderate
img_59ee013708,Healthy(116).jpg,Diseased,0.7695,41.5188,41.5188,Moderate
img_99983bbc17,Healthy(117).jpg,Diseased,0.7657,42.6525,42.6525,Moderate
img_145ed9b3d7,Healthy(118).jpg,Diseased,0.7614,40.1476,40.1476,Moderate
img_e4b6f307b8,Healthy(119).jpg,Diseased,0.7562,41.1027,41.1027,Moderate
img_fa009383eb,Healthy(12).jpg,Diseased,0.7575,39.2958,39.2958,Moderate
img_c2c8782fa3,Healthy(120).jpg,Diseased,0.7584,41.0797,41.0797,Moderate
img_7266e5d081,Healthy(121).jpg,Diseased,0.7576,40.4457,40.4457,Moderate
img_0774864d7a,Healthy(122).jpg,Diseased,0.7537,39.8014,39.8014,Moderate
img_2ff3d01cf0,Healthy(123).jpg,Diseased,0.7488,40.0739,40.0739,Moderate
img_a124e20f73,Healthy(124).jpg,Diseased,0.7433,37.5364,37.5364,Moderate
img_108038751a,Healthy(125).jpg,Diseased,0.7491,40.727,40.727,Moderate
img_91ce3a9c94,Healthy(126).jpg,Diseased,0.7485,40.1117,40.1117,Moderate
img_3eef396fb2,Healthy(127).jpg,Diseased,0.7476,37.9161,37.9161,Moderate
img_0fce3d9b81,Healthy(128).jpg,Diseased,0.7516,40.6042,40.6042,Moderate
img_1143af7210,Healthy(129).jpg,Diseased,0.7457,41.2507,41.2507,Moderate
