image_id,filename,prediction,confidence,infection_percentage,severity_score,severity_label
img_dbba29c78c,Healthy(1).jpg,PRSV Suspected,0.76,39.9363,39.9363,Moderate
img_380afa6b9b,Healthy(10).jpg,PRSV Suspected,0.7584,39.925,39.925,Moderate
img_daf32ba348,Healthy(100).jpg,PRSV Suspected,0.761,41.3653,41.3653,Moderate
img_5deb137c97,Healthy(101).jpg,PRSV Suspected,0.7629,42.4365,42.4365,Moderate
img_ee64abdd21,Healthy(102).jpg,PRSV Suspected,0.7448,38.945,38.945,Moderate
img_085ac6ab8a,Healthy(103).jpg,PRSV Suspected,0.7673,43.776,43.776,Moderate
img_40a5cc95bd,Healthy(104).jpg,PRSV Suspected,0.7672,41.2561,41.2561,Moderate
img_c8c2e72846,Healthy(105).jpg,PRSV Suspected,0.7669,41.6757,41.6757,Moderate
img_e20e205adb,Healthy(106).jpg,PRSV Suspected,0.7573,43.2494,43.2494,Moderate
img_d0615b3a2e,Healthy(107).jpg,PRSV Suspected,0.7453,37.4008,37.4008,Moderate
img_75d4638170,Healthy(108).jpg,PRSV Suspected,0.7473,38.4723,38.4723,Moderate
img_6aa130dc45,Healthy(109).jpg,PRSV Suspected,0.7525,37.7095,37.7095,Moderate
img_3ad7d36be7,Healthy(11).jpg,PRSV Suspected,0.756,38.5179,38.5179,Moderate
img_623ece8385,Healthy(110).jpg,PRSV Suspected,0.7507,38.2026,38.2026,Moderate
img_17ec9ae297,Healthy(111).jpg,PRSV Suspected,0.7581,39.8459,39.8459,Moderate
img_a3e6bac515,Healthy(112).jpg,PRSV Suspected,0.762,39.11,39.11,Moderate
img_3d942abf7c,Healthy(113).jpg,PRSV Suspected,0.76,40.4295,40.4295,Moderate
img_31fdfddcdd,Healthy(114).jpg,PRSV Suspected,0.7512,39.5079,39.5079,Moderate
img_72e0d85e77,Healthy(115).jpg,PRSV Suspected,0.7553,39.241,39.241,Moderate
img_376e692737,Healthy(116).jpg,PRSV Suspected,0.7695,41.5188,41.5188,Moderate
img_c0411709b5,Healthy(117).jpg,PRSV Suspected,0.7657,42.6525,42.6525,Moderate
img_43f109c666,Healthy(118).jpg,PRSV Suspected,0.7614,40.1476,40.1476,Moderate
img_4f2c14752f,Healthy(119).jpg,PRSV Suspected,0.7562,41.1027,41.1027,Moderate
img_6f34060006,Healthy(12).jpg,PRSV Suspected,0.7575,39.2958,39.2958,Moderate
img_3475f07fb2,Healthy(120).jpg,PRSV Suspected,0.7584,41.0797,41.0797,Moderate
img_ce574506b6,Healthy(121).jpg,PRSV Suspected,0.7576,40.4457,40.4457,Moderate
img_43cf6c97dd,Healthy(122).jpg,PRSV Suspected,0.7537,39.8014,39.8014,Moderate
img_e62e206864,Healthy(123).jpg,PRSV Suspected,0.7488,40.0739,40.0739,Moderate
img_45844adf74,Healthy(124).jpg,PRSV Suspected,0.7433,37.5364,37.5364,Moderate
img_26f4d789c2,Healthy(125).jpg,PRSV Suspected,0.7491,40.727,40.727,Moderate
img_c63aa330fb,Healthy(126).jpg,PRSV Suspected,0.7485,40.1117,40.1117,Moderate
img_4d4816c678,Healthy(127).jpg,PRSV Suspected,0.7476,37.9161,37.9161,Moderate
img_eb1e62d7ed,Healthy(128).jpg,PRSV Suspected,0.7516,40.6042,40.6042,Moderate
img_c1d8e8b07f,Healthy(129).jpg,PRSV Suspected,0.7457,41.2507,41.2507,Moderate
img_3e3afeb108,Healthy(13).jpg,PRSV Suspected,0.7591,40.1061,40.1061,Moderate
