image_id,filename,prediction,confidence,infection_percentage,severity_score,severity_label
img_6b609a378d,Healthy(1).jpg,PRSV Suspected,0.76,39.9363,39.9363,Moderate
img_de34614dbb,Healthy(10).jpg,PRSV Suspected,0.7584,39.925,39.925,Moderate
img_d0a7f38071,Healthy(100).jpg,PRSV Suspected,0.761,41.3653,41.3653,Moderate
img_cc062d2088,Healthy(101).jpg,PRSV Suspected,0.7629,42.4365,42.4365,Moderate
img_a13a784058,Healthy(102).jpg,PRSV Suspected,0.7448,38.945,38.945,Moderate
img_e7097640b2,Healthy(103).jpg,PRSV Suspected,0.7673,43.776,43.776,Moderate
img_3d1a7ad407,Healthy(104).jpg,PRSV Suspected,0.7672,41.2561,41.2561,Moderate
img_2fbdd42010,Healthy(105).jpg,PRSV Suspected,0.7669,41.6757,41.6757,Moderate
img_99ed0f34b3,Healthy(106).jpg,PRSV Suspected,0.7573,43.2494,43.2494,Moderate
img_9729698b66,Healthy(107).jpg,PRSV Suspected,0.7453,37.4008,37.4008,Moderate
img_df495069a8,Healthy(108).jpg,PRSV Suspected,0.7473,38.4723,38.4723,Moderate
img_ab855970b7,Healthy(109).jpg,PRSV Suspected,0.7525,37.7095,37.7095,Moderate
img_9653c8e03a,Healthy(11).jpg,PRSV Suspected,0.756,38.5179,38.5179,Moderate
img_37bc9a7962,Healthy(110).jpg,PRSV Suspected,0.7507,38.2026,38.2026,Moderate
img_9e500b1f6b,Healthy(111).jpg,PRSV Suspected,0.7581,39.8459,39.8459,Moderate
img_770157b53d,Healthy(112).jpg,PRSV Suspected,0.762,39.11,39.11,Moderate
img_0a5468cf77,Healthy(113).jpg,PRSV Suspected,0.76,40.4295,40.4295,Moderate
img_bfca7e7f3c,Healthy(114).jpg,PRSV Suspected,0.7512,39.5079,39.5079,Moderate
img_4a6f82ee6f,Healthy(115).jpg,PRSV Suspected,0.7553,39.241,39.241,Moderate
img_d66a917d0c,Healthy(116).jpg,PRSV Suspected,0.7695,41.5188,41.5188,Moderate
img_0b28582e0d,Healthy(117).jpg,PRSV Suspected,0.7657,42.6525,42.6525,Moderate
img_0614f33ada,Healthy(118).jpg,PRSV Suspected,0.7614,40.1476,40.1476,Moderate
img_7281aa307a,Healthy(119).jpg,PRSV Suspected,0.7562,41.1027,41.1027,Moderate
img_10aa3beb82,Healthy(12).jpg,PRSV Suspected,0.7575,39.2958,39.2958,Moderate
img_3376f0a0b2,Healthy(120).jpg,PRSV Suspected,0.7584,41.0797,41.0797,Moderate
img_da9822915c,Healthy(121).jpg,PRSV Suspected,0.7576,40.4457,40.4457,Moderate
img_290a15d354,Healthy(122).jpg,PRSV Suspected,0.7537,39.8014,39.8014,Moderate
img_70498c1f88,Healthy(123).jpg,PRSV Suspected,0.7488,40.0739,40.0739,Moderate
img_1d0043cc7b,Healthy(124).jpg,PRSV Suspected,0.7433,37.5364,37.5364,Moderate
img_795b064129,Healthy(125).jpg,PRSV Suspected,0.7491,40.727,40.727,Moderate
