image_id,filename,prediction,confidence,infection_percentage,severity_score,severity_label
img_9a8753c194,Healthy(1).jpg,PRSV Suspected,0.76,39.9363,39.9363,Moderate
img_70946ed73e,Healthy(10).jpg,PRSV Suspected,0.7584,39.925,39.925,Moderate
img_1f9862530d,Healthy(100).jpg,PRSV Suspected,0.761,41.3653,41.3653,Moderate
img_b3be32316c,Healthy(101).jpg,PRSV Suspected,0.7629,42.4365,42.4365,Moderate
img_64e501317b,Healthy(102).jpg,PRSV Suspected,0.7448,38.945,38.945,Moderate
img_7f53012103,Healthy(103).jpg,PRSV Suspected,0.7673,43.776,43.776,Moderate
img_8deb4e443e,Healthy(104).jpg,PRSV Suspected,0.7672,41.2561,41.2561,Moderate
img_4f8fe6ff80,Healthy(105).jpg,PRSV Suspected,0.7669,41.6757,41.6757,Moderate
img_4c9c8a7252,Healthy(106).jpg,PRSV Suspected,0.7573,43.2494,43.2494,Moderate
img_6c5d8c3d60,Healthy(107).jpg,PRSV Suspected,0.7453,37.4008,37.4008,Moderate
img_662f703c49,Healthy(108).jpg,PRSV Suspected,0.7473,38.4723,38.4723,Moderate
img_3f7241a8d2,Healthy(109).jpg,PRSV Suspected,0.7525,37.7095,37.7095,Moderate
img_1cac456d5a,Healthy(11).jpg,PRSV Suspected,0.756,38.5179,38.5179,Moderate
img_172ea87d29,Healthy(110).jpg,PRSV Suspected,0.7507,38.2026,38.2026,Moderate
img_465f4ae9f8,Healthy(111).jpg,PRSV Suspected,0.7581,39.8459,39.8459,Moderate
img_0f4276b5fa,Healthy(112).jpg,PRSV Suspected,0.762,39.11,39.11,Moderate
img_15df77f893,Healthy(113).jpg,PRSV Suspected,0.76,40.4295,40.4295,Moderate
img_c508e30968,Healthy(114).jpg,PRSV Suspected,0.7512,39.5079,39.5079,Moderate
img_4c2dbb5dfd,Healthy(115).jpg,PRSV Suspected,0.7553,39.241,39.241,Moderate
img_cd15d43016,Healthy(116).jpg,PRSV Suspected,0.7695,41.5188,41.5188,Moderate
img_8f5a131757,Healthy(117).jpg,PRSV Suspected,0.7657,42.6525,42.6525,Moderate
img_2e7437e295,Healthy(118).jpg,PRSV Suspected,0.7614,40.1476,40.1476,Moderate
img_79cdec77ed,Healthy(119).jpg,PRSV Suspected,0.7562,41.1027,41.1027,Moderate
img_2a200ba7c5,Healthy(12).jpg,PRSV Suspected,0.7575,39.2958,39.2958,Moderate
img_79cdd403a1,Healthy(120).jpg,PRSV Suspected,0.7584,41.0797,41.0797,Moderate
img_aa325e32b9,Healthy(121).jpg,PRSV Suspected,0.7576,40.4457,40.4457,Moderate
img_fc75138ff4,Healthy(122).jpg,PRSV Suspected,0.7537,39.8014,39.8014,Moderate
img_79e3fa0b59,Healthy(123).jpg,PRSV Suspected,0.7488,40.0739,40.0739,Moderate
img_fc7ed3d26b,Healthy(124).jpg,PRSV Suspected,0.7433,37.5364,37.5364,Moderate
img_9d82571293,Healthy(125).jpg,PRSV Suspected,0.7491,40.727,40.727,Moderate
